Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
CLASS MATES,,APPROVED,Assisted,1924,,,,,CLASS MATES_1924,"EARLY WEST POINT STORY, FILMED AT ACADEMY USING HISTORIC SETTLING TO ATTRACT AUDIENCES AND AID RECRUITING",
"BIG PARADE, THE",,APPROVED,Assisted,1925,,,,,"BIG PARADE, THE_1925","THE BIG PARADE WAS THE FIRST GREAT MOVIE ABOUT THE ARMY IN WORLD WAR I. MOST PEOPLE CONSIDER IT AN ANTI-WAR FILM, BUT FILM ENDS HAPPILY WITH THE BOY GETTING THE GIRL. KING VIDOR FILMED MOST OF MOVIE IN LOS ANGELES. HOWEVER, FOR THE GREAT ADVANCE TO THE FRONT, HE SENT A SECOND UNIT DIRECTOR TO TEXAS TO SHOOT THE LONG LINE OF TROOPS AND EQUIPMENT MOVING TO THE FRONT IN A STRAIGHT LINE. COMMANDER SAID NO STRAIGHT ROADS IN FRANCE AND PROVIDED MEN, PLANES, AND EQUIPMENT FOR SEQUENCE ON CURVED ROAD. VIDOR WENT BACK, GOT SAME SUPPORT AND FILMED ADVANCE DOWN A STRAIGHT ROAD. MOST SIGNIFICANT HELP UNTIL WINGS IN 1927.",Y
MIDSHIPMAN,,APPROVED,Assisted,1925,,,,,MIDSHIPMAN_1925,"EARLY ANNAPOLIS FILM, ONE OF SERIES THAT HOLLYWOOD FILMED AT THE NAVAL ACADEMY IN THE 1920S AND 1930S TO CAPTURE COLOR AND EXCITEMENT OF CADETS, MARCHING, ETC,",
WHAT PRICE GLORY,,APPROVED,Assisted,1926,,,,,WHAT PRICE GLORY_1926,"CLASSIC MARINE STORY WHICH BECAME FILM AGAINST WHICH ALL OTHERS MEASURED. MARINES GAVE ASSISTANCE, ALTHOUGH COMBAT SEQUENCES ARE SPARSE. BASED ON ANTI-WAR PLAY, BUT END RESULT OF FILM IS TO SUGGEST WAR WAS A POSITIVE EXPERIENCE",
CONVOY,,APPROVED,Assisted,1927,,,,,CONVOY_1927,FULL NAVY COOPERATION ON FEATURE SET IN WORLD WAR I.,
DRESS PARADE,,APPROVED,Assisted,1927,,,,,DRESS PARADE_1927,"TYPICAL WEST POINT MOVIE, MADE WITH FULL COOPERATION OF ARMY AND THE MILITARY ACADEMY. FILMMAKERS SHOT ALL LOCATION SCENES AT WEST POINT",
PATENT LEATHER KID,,APPROVED,Assisted,1927,,,,,PATENT LEATHER KID_1927,"AFTER CONSIDERABLE NEGOTIATIONS, THE ARMY PROVIDED MEN, TANKS, AND EQUIPMENT FOR STORY SET IN WORLD WAR I AND PEACETIME.",
WINGS,,APPROVED,Assisted,1927,,,,,WINGS_1927,"FIRST ACADEMY AWARD FOR BEST PICTURE WHICH SET STANDARD OF COOPERATION FOR ALL SERVICES. ARMY AND ARMY AIR CORPS PROVIDED ASSISTANCE IN TEXAS FOR NINE MONTHS, INCLUDING USE OF VIRTUALLY ENTIRE COMPLEMENT OF AIRPLANES.",
SUBMARINE,,APPROVED,Assisted,1928,,,,,SUBMARINE_1928,"THIS WAS FIRST MAJOR SUBMARINE MOVIE. REALLY ABOUT A NAVY DIVER WHO ULTIMATELY DIVES ON SUBMARINE SUNK IN AN ACCIDENT. DESPITE IMAGES OF ACCIDENT, SUFFOCATING SAILORS, AND AN UNFAITHFUL NAVY WIFE, THE NAVY PROVIDED A SUBMARINE, EQUIPMENT, AND NAVY MEN AND DIVERS.",
COCK-EYED WORLD,,APPROVED,Assisted,1929,,,,,COCK-EYED WORLD_1929,"MARINES IN PEACETIME, CHASING WOMEN, ETC.",
FLYING FLEET,,APPROVED,Assisted,1929,,,,,FLYING FLEET_1929,NAVAL AVIATION STORY WHICH RECEIVED FULL COOPERATION,
FLIGHT,,APPROVED,Assisted,1929,,,,,FLIGHT_1929,MARINES GAVE FULL COOPERATION ON FILM ABOUT THE MARINE EXPEDITIONARY FORCE IN NICARAGUA. SQUADRON OF FIGHTERS GIVES CLOSE AIR SUPPORT TO MARINES ON THE GROUND. SHOWS HOW MARINE AIR AND GROUND FORCES WORK TOGETHER--IMAGE AND REALITY CARRIED FORWARD INTO WWII,
MEN WITHOUT WOMEN,,APPROVED,Assisted,1930,,,,,MEN WITHOUT WOMEN_1930,"JOHN FORD'S SUBMARINE MOVIE ABOUT AMERICANS VISITING SINGAPORE AND THEN BEING SUNK IN A COLLISION AND EFFORTS TO RESCUE THE CREW. NAVY PROVIDED A SUBMARINE AND ACTIVE DUTY TECHNICAL ADVISOR, EARLY SOUND FILM. JOHN WAYNE'S FIRST SPEAKING ROLE",
DIRIGIBLE,,APPROVED,Assisted,1931,,,,,DIRIGIBLE_1931,"CLASSIC PEACETIME NAVY BUDDY FILM. WHILE STORY FOCUSED ON DIRIGIBLES, THE NAVY ALSO PROVIDED PLENTY OF AIRPLANES, MEN, SHIPS AS BACKGROUND, AND LOCATIONS. STORY IS A FANTASY OF A DIRIGIBLE RACING TO THE ANTARCTIC TO RESCUE A DOWNED EXPEDITION TRYING TO REACH THE SOUTH POLE. MISSION SUCCEEDS AND NAVY AVIATORS BECOME HEROES.",
HELLDIVERS,,APPROVED,Assisted,1931,,,,,HELLDIVERS_1931,"PEACE-TIME NAVAL AVIATION FILM FOR WHICH SERVICE PROVIDED MEN, EQUIPMENT, AND PLANES",
SHIPMATES,,APPROVED,Assisted,1931,,,,,SHIPMATES_1931,"FIRST SOUND MOVIE MADE AT THE NAVAL ACADEMY. TYPICAL ROMANCE WITH SONGS. FULL COOPERATION WITH PARADES, CAMPUS, ETC",Y
ACE OF ACES,,APPROVED,Assisted,1933,,,,,ACE OF ACES_1933,ARMY AIR CORPS PROVIDED PLANES TO STAGE AERIAL COMBAT SEQUENCES FOR WORLD WAR I FILM SET IN FRANCE,
CAPTURED,,APPROVED,Assisted,1933,,,,,CAPTURED_1933,STORY ABOUT AMERICAN FLIERS SHOT DOWN AND CAPTURED DURING WORLD WAR I. ARMY AIR CORPS COOPERATION IN THE FORM OF MEN AND PLANES.,
HELL BELOW,,APPROVED,Assisted,1933,,,,,HELL BELOW_1933,NAVY GAVE FULL COOPERATION TO WORLD WAR I SUBMARINE STORY.,
KING KONG,,DENIED,Not assisted,1933,,,,,KING KONG_1933,NAVY TURNED DOWN REQUEST FOR PLANES TO DEPLOY AGAINST KING KONG ON EMPIRE STATE BUILDING ON GROUNDS THEY WERE AVAILABLE FROM COMMERCIAL SOURCES. PRODUCER WENT TO FLOYD BENNETT FIELD ON LONG ISLAND AND CONVINCED COMMANDER OF NAVAL AIR STATION TO SEND A FLIGHT OF FOUR PLANES (ONE PILOTED BY A MARINE) TO ATTACK KING KONG.,Y
MIDSHIPMAN JACK,,APPROVED,Assisted,1933,,,,,MIDSHIPMAN JACK_1933,ANOTHER ANNAPOLIS STORY WHICH NAVY ALLOWED TO BE FILMED AT ACADEMY,
ABOVE THE CLOUDS,,APPROVED,Assisted,1934,,,,,ABOVE THE CLOUDS_1934,"NAVY PROVIDED USE OF BATTLESHIPS, SUBMARINES, AND A DIRIGIBLE AS BACKGROUND FOR PEACETIME STORY",
FLIRTATION WALK,,APPROVED,Assisted,1934,,,,,FLIRTATION WALK_1934,TYPICAL WEST POINT STORY. ARMY ALLOWED FILMMAKERS TO SHOOT ALL EXTERNAL SCENES AT WEST POINT.,
ANNAPOLIS FAREWELL,,APPROVED,Assisted,1935,,,,,ANNAPOLIS FAREWELL_1935,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,
DEVIL DOGS OF THE AIR,,APPROVED,Assisted,1935,,,,,DEVIL DOGS OF THE AIR_1935,"MARINES AND NAVY PROVIDED FULL COOPERATION FOR STORY ABOUT MARINE AVIATION IN PEACETIME. FILM INCLUDES AN AIR AND SEA ASSAULT EXERCISE. HOWEVER, FILM DOES NOT EXPLAIN THE DIFFERENT MISSIONS OF NAVY AND MARINE AVIATORS FLYING FROM AIRCRAFT CARRIERS. RARE DEPICTION OF MARINE FLIERS TAKING OFF FROM AIRCRAFT CARRIER",
SHIPMATES FOREVER,,APPROVED,Assisted,1935,,,,,SHIPMATES FOREVER_1935,"ANOTHER IN SERIES OF NAVAL ACADEMY FILMS DURING THE 1935. SAME PARADES, SCENIC CAMPUS, ETC. POPULARITY PROBABLY AROSE FROM ESCAPISM DURING DEPRESSION",
FOLLOW THE FLEET,,APPROVED,Assisted,1936,,,,,FOLLOW THE FLEET_1936,MUSICAL COMEDY SET ON NAVY STAGE. NAVY PROVIDED SHIPS AND MEN AS BACKGROUND TO IRVING BERLIN SONGS.,
SAN FRANCISCO,,APPROVED,Assisted,1936,,,,,SAN FRANCISCO_1936,"INTERESTING STORY OF COOPERATION. DIRECTOR W.S VAN DYKE WAS A MARINE RESERVE OFFICER. NEEDED EXTRAS WHO COULD OBEY SPLIT SECOND ORDERS DURING CLIMATIC EARTHQUAKE AND OBTAINED PERMISSION TO USE ACTIVE DUTY MARINES IN SCENES OF DESTRUCTION, ETC",
ANNAPOLIS SALUTE,,APPROVED,Assisted,1937,,,,,ANNAPOLIS SALUTE_1937,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,
DEVIL'S PLAYGROUND,,APPROVED,Assisted,1937,,,,,DEVIL'S PLAYGROUND_1937,"THIS WAS A REMAKE OF FRANK CAPRA'S ""SUBMARINE."" ALTHOUGH THE NAVY HAD PROVIDED FULL COOPERATION TO THE ORIGINAL FILM, THE MODEL FOR ALL FUTURE SUBMARINE DISASTER MOVIES, THE SERVICE MANIFESTED GREAT RELUCTANCE TO BECOME INVOLVED WITH THIS REMAKE, SOUND VERSION. NEITHER FILM WAS REALLY ANY GOOD FOR NAVY WITH THEIR IMAGES OF A SUNKEN SUBMARINE, A NAVY UNFAITHFUL WIFE, AND A DIVER WHO REFUSES AT FIRST ASSIGNMENT TO HELP RESCUE SUB BECAUSE HIS BEST FRIEND, WHO UNWITTINGLY SLEPT WITH HIS WIFE, IS ABOARD. ULTIMATELY, IN BOTH FILMS, THE CUCKOLDED DIVER DOES DIVE DOWN TO THE STRICKEN SUB TO CARRY AIR HOSE TO SUB. AFTER MUCH NEGOTIATIONS AND SOME SCRIPT REVISIONS, THE NAVY PROVIDED ASSISTANCE. SEE ""GUTS & GLORY, REVISED EDITION"", FOR FULL STORY",Y
NAVY BLUE AND GOLD,,APPROVED,Assisted,1937,,,,,NAVY BLUE AND GOLD_1937,"ANOTHER PEACETIME ANNAPOLIS FILM, THIS TIME FOCUSING ON THE ARMY/NAVY GAME APPROVED ASSISTANCE, DATE APPROXIMATE, NO FILE",
SUBMARINE D-1,,APPROVED,Assisted,1937,,,,,SUBMARINE D-1_1937,SUBMARINE DISASTER MOVIE WHICH SHOWED NAVY'S DEVELOPMENT OF MCCANN DIVING BELL TO RESCUE SAILORS FROM SUNKEN SUBMARINES. BECAME ALMOST PROPHETIC SINCE BELL WAS USED TO RESCUE MEN FROM THE SQUALUS. FILMING AT SUBMARINE BASE IN NEW LONDON.,
AIR DEVILS,,APPROVED,Assisted,1938,,,,,AIR DEVILS_1938,MARINES PROVIDED ROUTINE ASSISTANCE IN THE FORM OF MEN AND PLANES FOR TYPICAL STORY OF FLIERS PURSUING THE SAME GIRL DURING PEACETIME,
BROTHER RAT,,APPROVED,Assisted,1938,,,,,BROTHER RAT_1938,STORY OF CADETS AT VIRGINIA MILITARY ACADEMY. ARMY HELPED IN TRAINING EXERCISES FOR CADETS,
FLIGHT COMMAND,,APPROVED,Assisted,1940,,,,,FLIGHT COMMAND_1940,NAVY FILM ABOUT DEVELOPMENT OF NAVIGATIONAL AIDS FOR BAD-WEATHER FLYING. FULL COOPERATION AT MIRAMAR AIR STATION. ONE OF SEVERAL PRE-WAR PREPAREDNESS FILMS THAT HOLLYWOOD TURNED OUT FOR ALL THE SERVICES.,
DIVE BOMBER,,APPROVED,Assisted,1941,,,,,DIVE BOMBER_1941,"NAVY PREPAREDNESS FILM WHICH RECEIVED FULL COOPERATION. STORY OF HOW NAVY AVIATION MEDICAL DOCTORS TRIED TO SOLVE THE PROBLEM OF PILOT BLACKOUT DURING HIGH SPEED DIVES. MADE IN FULL COLOR. SOME PEOPLE OBJECTED TO THE DEATH OF SOME PILOTS AS BAD IMAGE MAKING, BUT NAVY ARGUED FILM SHOWED HOW SERVICE WAS TRYING TO SOLVE THE PROBLEM AND IF FILM ONLY SHOWED POSITIVE SIDE, IT WOULD BE LABELED PROPAGANDA.",Y
I WANTED WINGS,,APPROVED,Assisted,1941,,,,,I WANTED WINGS_1941,"ARMY AIR CORPS PREPAREDNESS FILM. FOCUS ON TRAINING OF NEW PILOTS. STALE PLOT, BUT AIR CORPS PROVIDED LOTS OF PLANES AND AERIAL SCENES INCLUDING THE NEW B-17S.",
SERGEANT YORK,,LIMITED,Assisted,1941,,,,,SERGEANT YORK_1941,CLASSIC PRE-WORLD WAR II PREPAREDNESS FILM ABOUT HERO OF WORLD WAR I. PRO-INTERVENTION PROPAGANDA. ARMY PROVIDED SOME HELP IN STAGING COMBAT SEQUENCES,
"FLEET'S IN, THE",,APPROVED,Assisted,1942,,,,,"FLEET'S IN, THE_1942",PEACETIME NAVY MUSICAL RELEASED AFTER WAR BEGAN. FULL COOPERATION IN FORM OF MEN AND SHIPS AS BACKGROUND TO STORY.,
FLIGHT LIEUTENANT,,LIMITED,Assisted,1942,,,,,FLIGHT LIEUTENANT_1942,ARMY AIR CORPS PREPAREDNESS FILM. USE OF PLANES AND MEN AS BACKGROUND.,
FLYING TIGERS,,APPROVED,Assisted,1942,,,,,FLYING TIGERS_1942,ARMY AIR CORPS PROVIDED FIGHTER PLANES FOR FICTIONAL STORY OF THE AMERICAN VOLUNTEER FLIERS IN CHINA IN THE MONTHS BEFORE AND AFTER PEARL HARBOR,
TO THE SHORES OF TRIPOLI,,APPROVED,Assisted,1942,,,,,TO THE SHORES OF TRIPOLI_1942,"MARINE PREPAREDNESS FILM, SHOT AT RECRUIT DEPOT IN SAN DIEGO. PEARL HARBOR OCCURRED BEFORE FILM WAS RELEASED, SO TAG ADDED SHOWING MARINES BOARDING SHIPS FOR ACTION IN THE PACIFIC.",
WAKE ISLAND,,APPROVED,Assisted,1942,,,,,WAKE ISLAND_1942,"STORY OF MARINE DEFENSE OF WAKE ISLAND MADE WITH FULL COOPERATION. UP TO DEPARTURE OF MARINE, FILM CONTAINS ACCURATE REPRESENTATION. AFTER THAT, SCREENWRITER'S IMAGINATION TAKES OVER. HIGHLY EFFECTIVE MOVIE",
ACTION IN THE NORTH ATLANTIC,,APPROVED,Assisted,1943,,,,,ACTION IN THE NORTH ATLANTIC_1943,NAVY AND MERCHANT MARINES PROVIDED USE OF SHIP AND MEN FOR STORY OF NAVY GUNNERS ABOARD A MERCHANT SHIP IN THE NORTH ATLANTIC DURING WORLD WAR II.,
AERIAL GUNNER,,APPROVED,Assisted,1943,,,,,AERIAL GUNNER_1943,ARMY AIR CORPS PROVIDED ACCESS TO THE HARLINGEN AERIAL GUNNERY SCHOOL FOR FILMMAKERS TO SHOW HOW IT TRAINED BOMBER GUNNERS AND IT ALSO PROVIDED PLANES TO STAGE MISSION AGAINST JAPANESE IN SOUTH PACIFIC.,
AIR FORCE,,APPROVED,Assisted,1943,,,,,AIR FORCE_1943,"ARMY AIR CORPS PROVIDED FULL ASSISTANCE AT AN AIR BASE NEAR TAMPA FOR FILM ABOUT THE MARY ANNE ARRIVED IN PEARL HARBOR ON DECEMBER 7. HAP ARNOLD PROVIDED THE TECHNICAL ADVISOR WITH A CARD HE SHOWED WHEN HE NEEDED TO USE BOMBERS AND FIGHTERS. FILM MADE IN FLORIDA TO AVOID HAVING PLANES WITH JAPANESE INSIGNIA FLYING OVER SOUTHERN CALIFORNIA. THE CLIMACTIC BATTLE, OFTEN DESCRIBED AS MIDWAY, WAS FILMED AT THE WARNER BROTHERS ""SEA"" USING MINIATURES IN FEBRUARY, 1942",
BATAAN,,LIMITED,Assisted,1943,,,,,BATAAN_1943,"CLASSIC ARMY STORY ABOUT FALL OF BATAAN. GROUP OF AMERICAN SOLDIERS FIGHT REAR GUARD ACTION, DYING ONE BY ONE STORY FILMED AT STUDIO AND OBTAINED LIMITED ASSISTANCE IN THE FORM OF INFORMATION. ARMY APPROVED COMPLETED PRODUCTION",
CRASH DIVE,,APPROVED,Assisted,1943,,,,,CRASH DIVE_1943,"FIRST MAJOR SUBMARINE MOVIE OF WORLD WAR II. PURE FANTASY WITH AMERICAN SUBMARINE ON COMBAT CRUISE IN ATLANTIC, SINKS GERMAN SHIPS AND DESTROYS A MYTHICAL NAZI SUBMARINE SUPPLY BASE ON AN ISLAND IN THE NORTH ATLANTIC. NAVY PROVIDED FULL COOPERATION AT THE NEW LONDON SUBMARINE BASE.",
DESTINATION TOKYO,,APPROVED,Assisted,1943,,,,,DESTINATION TOKYO_1943,WIDELY CONSIDERED TO BE ONE OF THE BEST SUBMARINE MOVIE OF WORLD WAR II. RECEIVED FULL COOPERATION IN THE RESEARCH AND DEVELOPMENT OF SCRIPT PROVIDED A SUBMARINE AT MARE ISLAND FOR EXTERIOR FILMING. CREATED CLICHE OF APPENDICITIS OPERATION ABOARD SUB. FILM FOCUSES ON AMERICAN SUB WHICH GOES INTO TOKYO BAY TO COLLECT WEATHER INFORMATION FOR DOOLITTLE RAID.,
DESTROYER,,APPROVED,Assisted,1943,,,,,DESTROYER_1943,STORY OF THE BUILDING AND SERVICE OF A DESTROYER DURING WORLD WAR II. NAVY GAVE ACCESS TO SHIPYARD AND THEN SUPPLIED DESTROYER FOR FILMING AT SEA.,
GUADALCANAL DIARY,,APPROVED,Assisted,1943,,,,,GUADALCANAL DIARY_1943,"BASED ON HISTORY OF SAME NAME BY RICHARD TREGASKIS ABOUT BATTLE TO CAPTURE GUADALCANAL. MARINES GAVE FULL COOPERATION, MEN, EQUIPMENT, ETC., AT CAMP PENDLETON. CONSIDERED TO BE ONE OF BEST MOVIES TO COME OUT OF THE WAR AND A MARINE CORPS CLASSIC",Y (HIGH PRAISE FROM YA BOI)
GUNG HO,,APPROVED,Assisted,1943,,,,,GUNG HO_1943,FULL MARINE COOPERATION AT MARINE CORPS BASE CAMP PENDLETON.,
SAHARA,,APPROVED,Assisted,1943,,,,,SAHARA_1943,"CLASSIC EARLY WORLD WAR II WAR STORY EVEN THOUGH TOTAL FICTION. AMERICAN TANKS DID NOT FIGHT WITH BRITISH FORCES IN NORTH AFRICA IN EARLY DAYS OF WAR. HOWEVER, ARMY PROVIDED FULL COOPERATION AT DESERT TANK TRAINING FACILITY ON CALIFORNIA, NEVADA BORDER, INCLUDING USE OF AN OBSOLETE TRAINING TANK. AGAINST ARMY REGULATIONS, AN AMERICAN FIGHTER PLAYED A GERMAN FIGHTER AND 500 AMERICAN SOLDIERS DRESSED UP AS GERMANS IN CLIMACTIC BATTLE. BUT LONE AMERICAN, HUMPHREY BOGART, CAPTURED ALL THE ENEMY ALMOST SINGLE HANDEDLY WHICH WAS VERY POSITIVE PROPAGANDA FOR WAR EFFORT.",Y
"PURPLE HEART, THE",,OTHER,Not assisted,1944,,,,,"PURPLE HEART, THE_1944",THIRD IN TRILOGY ABOUT THE DOOLITTLE RAID. TOTALLY FICTIONAL ACCOUNT OF TRIAL OF EIGHT OF DOOLITTLE'S FLIERS AND THEIR EXECUTION (OFF SCREEN). HELPED WAR EFFORT BY SHOWING EVIL ENEMY. NO ASSISTANCE NEEDED SINCE SHOT ON SOUND STAGE.,Y
FIGHTING SEABEES,,APPROVED,Assisted,1944,,,,,FIGHTING SEABEES_1944,"NAVY PROVIDED FULL SUPPORT FOR STORY OF NAVY COMBAT ENGINEERS IN PACIFIC. ALLOWED FILMMAKERS TO SHOOT A SEABEE TRAINING EXERCISE AT CAMP PENDLETON INCLUDING THE BUILDING OF AN AIRFIELD, WHICH WAS THEN CUT INTO FILM.",
MARINE RAIDERS,,APPROVED,Assisted,1944,,,,,MARINE RAIDERS_1944,"TYPICAL WWII MARINE MOVIE, WITH FOCUS ON TRAINING FOR COMMANDO ATTACK. FULL MARINE COOPERATION AT MARINE CORPS BASE, PENDLETON",
THE SULLIVANS,THE FIGHTING SULLIVANS,APPROVED,Assisted,1944,,,,,THE SULLIVANS_1944,"FILM ABOUT FIVE SULLIVAN BROTHERS WHO DIED ABOARD THE USS JUNO AFTER THE BATTLE OF GUADALCANAL SEA WHEN A JAPANESE SUBMARINE HIT THE CRIPPLED CRUISER WITH A TORPEDO. VERY LITTLE ACTION OF NAVY IMAGES, BUT CLOSING SCENE IN WHICH THE PARENTS CHRISTEN THE DESTROYER ""THE SULLIVANS"" (FIRST NAVY SHIP TO BE NAMED AFTER MORE THAN ONE PERSON), BRINGS TEARS TO EYES TODAY AND HELPED WAR BOND DRIVES. ALSO THE DEATHS BROUGHT ABOUT NEW MILITARY DIRECTIVE THAT BROTHERS COULD NOT SERVE TOGETHER-MENTIONED IN ""SAVING PRIVATE RYAN.""",Y
THIRTY SECONDS OVER TOKYO,,APPROVED,Assisted,1944,,,,,THIRTY SECONDS OVER TOKYO_1944,"STORY OF DOOLITTLE'S RAID ON JAPAN FROM VIEW OF TED LAWSON, ONE OF THE PILOTS. ARMY AIR CORPS PROVIDED FULL COOPERATION IN FORM OF B-25 BOMBERS, LOCATION SHOOTING AT EGLIN AIR FORCE BASE WHERE ACTUAL TRAINING TOOK PLACE, AND LOAN OF THREE PLANES FOR SHOOTING ON MGM SOUNDSTAGE. REASONABLY ACCURATE EXCEPT FOR NOT IDENTIFYING CHINESE RESCUERS AS BEING COMMUNISTS",
WING AND A PRAYER,,APPROVED,Assisted,1944,,,,,WING AND A PRAYER_1944,FICTIONALIZED STORY OF BATTLE OF MIDWAY. NAVY ALLOWED FILM MAKERS TO TRAVEL ABOARD THE USS YORKTOWN ON ITS SHAKEDOWN CRUISE AND FILM LANDINGS AND TAKEOFFS. COMBINED FOOTAGE INTO STANDARD STORY OF HOW SENIOR OFFICER TURNS NEW MEN INTO FIGHTING UNIT.,
BACK TO BATAAN,,APPROVED,Assisted,1945,,,,,BACK TO BATAAN_1945,"AS TITLE SUGGESTS, A STORY ABOUT THE ARMY'S RETURN TO THE PHILIPPINES. JOHN WAYNE ACTION MOVIE. USE OF MEN AND EQUIPMENT FOR COMBAT SEQUENCES",
